videoId,tags
rTmyx3UZykI,"['Chris Urbano responds to Jollibee Taste Test Comments', 'Chris Urbano responds to hater comments', 'Chris Urbano responds to mean comments', 'jollibee taste test', 'Chris Urbano', 'filipino food taste test', 'Sunday VLOG', 'Q and A VLOG', 'foreigner try jollibee', 'Maputing Cooking', 'jollibee mukbang', 'food review', 'jollibee reaction', 'Mean Comments']"
P2bTYApfPbY,"['Lucky Plaza Singapore Jollibee Compared With Jollibee Philippines', 'Singapore', 'Lucky Plaza', 'Orchard Road', 'Jollibee', 'Jollibee Singapore', 'Jollibee Philippines', 'Blaire Bustillo', 'OFW in Singapore', 'Filipino in Singapore', 'Pinoy', 'Pinoy in Singapore', 'Chickenjoy', 'Best Fried Chicken In Singapore', 'Fried Chicken', 'Price', 'Price Comparison', 'Spicy Chicken', 'Eat Now Pay Later', 'foreigners in Singapore', 'All Time Favorite', 'Long Vehicle', 'Cleanse Our Body', 'Forever Living Singapore', 'Filipino Food']"
iRGRUS7T48w,"['americans try', 'tasting video', 'snack crate', 'snack subscription review', 'snack crate review', 'americans try snacks from', 'snacks from the philippines', 'philippines', 'tasting snacks from', 'trying snacks from around the world', 'philippine snacks', 'review', 'snack review', 'food review', 'snack critic', 'food critic', 'eating snacks from the philippines', 'snack crate snacks', 'food from around the world', 'food from philippines']"
W-nGI42f5X0,"['Chinese', 'train', 'husband', 'block', 'china', 'chinese train', 'chinese commuters', 'arguments in china', 'stopping a train from leaving', 'chinese people arguing']"
BHnariK2tm0,"['best restaurant in coron', 'coron island tour', 'ultimate tour coron', 'palawan island', 'top tourist destinations coron', 'night life in coron palawan', 'best places to visit in palawan 2018', 'filipino food', 'philippines street food', 'where to eat in palawan', 'best restaurants in palawan', 'best food in palawan', 'local filipino dishes palawan', 'el nido nightlife', 'nightlife in palawan 2018', 'coron party bars at night', 'boracay 2018 nightlife', 'what to do in palawan']"
cY-QSZ75hlY,
fr0pH-mKQOM,"['chicharon', 'philippines', 'philippines chicharon', 'filinpino chicharon', 'philippines snacks', 'filipino snacks', 'chicharon capital', 'carcar city', 'carcar lechon', 'carcar chicharon', 'filipino street food', 'philippines street food', 'best ever food review show', 'sonny side', 'best ever food review show philippines', 'jeepney', 'foreigner in jeepney']"
oJf7j4Zyy0E,"['blogs', 'VLOG', 'FILIPINO VLOG', 'YANI MACUTE', 'FABIO CAIO', 'GAY COUPLE', 'GAY VLOGGERS', 'GAY YOUTUBERS', 'long distance relationship', 'FILIPINO', 'PINOY', 'PHILIPPINES', 'ABS CBN']"
eMsEruoPTzA,"['what i eat in a day', 'What I Ate On A Deserted Island | Philippines', 'anna wildman', 'runningvegannyc', 'annawildman', 'vegan', 'vegan travel', 'philippines', 'filipino food', 'philippines food', 'what i eat', 'hclf', 'vegan food', 'healthy travel', 'solo travel', 'backpacking', 'vegan backpacking', 'vegan solo travel', 'travel blogger', 'travel vlog', 'daily vlog']"
8HFrUnxkKRI,"['festival', 'festival in philippines', 'philippines festivals', 'filipino festival', 'local filipino festival', 'festivals in the philippines', 'funny festivals', 'funny costumes', 'funny local filipinos', 'funny filipino video', 'funny filipino jokes', 'funny philippines videos', 'binalbal festival', 'funny festival moments', 'funniest festivals', 'finn snow', 'finnsnow', 'kulas in tudela', 'finsnow', 'kulas becoming filipino', 'finn snow dinagyang', 'kulas with finn snow', 'finn snow with kulas', 'kaamulan 2018']"
